,age1,age2,best_of,draw_size,hand1,hand2,ht1,ht2,id1,id2,ioc1,ioc2,loser1,loser2,match_num,name1,rank1,rank2,round,win,year
12423,29.2676249144,38.8227241615,5,128,R,R,183,175,100087,100016,AUS,AUS,,Ken Rosewall,126,John Newcombe,7,6,6,1,1973
12424,29.2676249144,27.4962354552,5,128,R,R,183,175,100087,100113,AUS,CZE,,Jan Kodes,127,John Newcombe,7,11,7,1,1973
14117,21.9849418207,24.922655715300003,5,128,L,R,178,193,100284,100186,USA,USA,,Jeff Borowiak,1,Jimmy Connors,1,44,1,1,1974
14124,20.3039014374,25.327857631799997,5,128,R,R,183,178,100332,100179,HUN,GER,,Karl Meiler,8,Balazs Taroczy,38,65,1,1,1974
14125,30.5133470226,23.515400410700003,5,128,R,R,178,183,100084,100231,NED,USA,,Erik Van Dillen,9,Tom Okker,5,62,1,1,1974
14133,27.704312115,28.2354551677,5,128,R,R,193,180,100126,100115,USA,CHI,,Jaime Fillol,17,Stan Smith,4,19,1,1,1974
14134,32.2737850787,33.946611909699996,5,128,R,L,183,175,100067,100049,RSA,USA,,Jim Mcmanus,18,Frew Mcmillan,56,113,1,1,1974
14136,19.6796714579,30.225872689899997,5,128,R,R,190,180,100360,100088,USA,CHI,,Patricio Cornejo,20,Brian Teacher,179,69,1,1,1974
14138,22.439425051300002,25.574264202600002,5,128,R,R,185,188,100270,100173,IND,USA,,Andrew Pattison,22,Anand Amritraj,120,30,1,1,1974
14141,28.1095140315,22.3874058864,5,128,R,R,183,183,100119,100273,ROU,AUS,,Kim Warwick,25,Ilie Nastase,7,100,1,1,1974
14142,27.4140999316,26.4476386037,5,128,R,R,175,188,100134,100158,USA,AUS,,John Bartlett,26,Roy Barth,137,144,1,1,1974
14144,22.869267624899997,25.1088295688,5,128,L,R,183,173,100255,100182,USA,USA,,Mike Estep,28,Roscoe Tanner,21,80,1,1,1974
14150,36.6652977413,28.227241615300002,5,128,R,R,185,188,100027,100116,USA,USA,,Sherwood Stewart,34,Gene Scott,143,84,1,1,1974
14152,39.819301848,29.9383983573,5,128,R,R,175,188,100016,100091,AUS,AUS,,Colin Dibley,36,Ken Rosewall,6,70,1,1,1974
14154,22.3956194387,37.1362080767,5,128,R,R,178,173,100272,100025,USA,AUS,,Barry Phillips Moore,38,Sandy Mayer,103,71,1,1,1974
14160,32.7310061602,23.2470910335,5,128,R,R,185,175,100060,100243,USA,USA,,Steve Krulevitz,44,Marty Riessen,12,74,1,1,1974
14164,18.2258726899,20.1560574949,5,128,R,L,180,201,100437,100339,SWE,USA,,Victor Amaya,48,Bjorn Borg,8,192,1,1,1974
14171,20.090349076,22.5297741273,5,128,R,R,183,190,100342,100266,USA,GBR,,John Feaver,55,Vitas Gerulaitis,145,125,1,1,1974
14172,31.1348391513,19.4524298426,5,128,R,R,185,173,100074,100372,USA,USA,,Trey Waltke,56,Arthur Ashe,9,274,1,1,1974
14178,29.2813141684,23.477070499699998,5,128,L,R,178,183,100100,100236,AUS,AUS,,John James,62,Tony Roche,25,259,1,1,1974
14181,21.9849418207,29.3963039014,5,128,L,R,178,196,100284,100098,USA,SWE,,Ove Nils Bengtson,65,Jimmy Connors,1,76,2,1,1974
14182,23.151266256,34.1492128679,5,128,R,R,190,183,100244,100047,AUS,AUS,,Bob Carmichael,66,John Alexander,22,131,2,1,1974
14184,20.3039014374,27.255304585900003,5,128,R,R,183,178,100332,100139,HUN,GBR,,Gerald Battrick,68,Balazs Taroczy,38,86,2,1,1974
14185,30.5133470226,28.2080766598,5,128,R,R,178,188,100084,100117,NED,USA,,Butch Seewagen,69,Tom Okker,5,155,2,1,1974
14189,27.704312115,32.2737850787,5,128,R,R,193,183,100126,100067,USA,RSA,,Frew Mcmillan,73,Stan Smith,4,56,2,1,1974
14190,19.6796714579,22.584531143099998,5,128,R,R,190,183,100360,100261,USA,USA,,Brian Gottfried,74,Brian Teacher,179,34,2,1,1974
14191,22.439425051300002,25.5550992471,5,128,R,L,185,178,100270,100174,IND,ESP,,Manuel Orantes,75,Anand Amritraj,120,11,2,1,1974
14192,24.59137577,26.338124572199998,5,128,R,R,188,173,100201,100160,AUS,FRA,,Georges Goven,76,Syd Ball,85,58,2,1,1974
14193,28.1095140315,27.4140999316,5,128,R,R,183,175,100119,100134,ROU,USA,,Roy Barth,77,Ilie Nastase,7,137,2,1,1974
14198,39.819301848,26.9979466119,5,128,R,R,175,180,100016,100144,AUS,USA,,Robert Lutz,82,Ken Rosewall,6,40,2,1,1974
14202,32.7310061602,20.0027378508,5,128,R,R,185,178,100060,100343,USA,GBR,,John Lloyd,86,Marty Riessen,12,112,2,1,1974
14204,20.7036276523,18.2258726899,5,128,R,R,193,180,100321,100437,IND,SWE,,Bjorn Borg,88,Vijay Amritraj,39,8,2,1,1974
14208,31.1348391513,20.090349076,5,128,R,R,185,183,100074,100342,USA,USA,,Vitas Gerulaitis,92,Arthur Ashe,9,145,2,1,1974
14210,28.010951403099998,27.6906228611,5,128,R,R,183,180,100121,100127,RSA,USA,,Tom Gorman,94,Raymond Moore,51,17,2,1,1974
14211,29.2813141684,27.370294319,5,128,L,R,178,188,100100,100135,AUS,NZL,,Onny Parun,95,Tony Roche,25,31,2,1,1974
14213,21.9849418207,23.151266256,5,128,L,R,178,190,100284,100244,USA,AUS,,John Alexander,97,Jimmy Connors,1,22,3,1,1974
14214,28.4928131417,20.3039014374,5,128,R,R,175,183,100113,100332,CZE,HUN,,Balazs Taroczy,98,Jan Kodes,13,38,3,1,1974
14217,27.704312115,19.6796714579,5,128,R,R,193,190,100126,100360,USA,USA,,Brian Teacher,101,Stan Smith,4,179,3,1,1974
14218,24.59137577,22.439425051300002,5,128,R,R,188,185,100201,100270,AUS,IND,,Anand Amritraj,102,Syd Ball,85,120,3,1,1974
14219,22.869267624899997,28.1095140315,5,128,L,R,183,183,100255,100119,USA,ROU,,Ilie Nastase,103,Roscoe Tanner,21,7,3,1,1974
14225,22.028747433299998,24.454483230700003,5,128,L,R,180,185,100282,100205,ARG,USA,,Paul Gerken,109,Guillermo Vilas,10,66,3,1,1974
14227,28.010951403099998,30.8145106092,5,128,R,R,183,188,100121,100078,RSA,USA,,Clark Graebner,111,Raymond Moore,51,79,3,1,1974
14228,30.264202600999997,29.2813141684,5,128,R,L,183,178,100087,100100,AUS,AUS,,Tony Roche,112,John Newcombe,2,25,3,1,1974
14229,21.9849418207,28.4928131417,5,128,L,R,178,175,100284,100113,USA,CZE,,Jan Kodes,113,Jimmy Connors,1,13,4,1,1974
14231,27.704312115,24.59137577,5,128,R,R,193,188,100126,100201,USA,AUS,,Syd Ball,115,Stan Smith,4,85,4,1,1974
14233,39.819301848,21.1882272416,5,128,R,R,175,183,100016,100309,AUS,MEX,,Raul Ramirez,117,Ken Rosewall,6,23,4,1,1974
14234,20.7036276523,32.7310061602,5,128,R,R,193,185,100321,100060,IND,USA,,Marty Riessen,118,Vijay Amritraj,39,12,4,1,1974
14235,31.1348391513,22.028747433299998,5,128,R,L,185,180,100074,100282,USA,ARG,,Guillermo Vilas,119,Arthur Ashe,9,10,4,1,1974
14236,30.264202600999997,28.010951403099998,5,128,R,R,183,183,100087,100121,AUS,RSA,,Raymond Moore,120,John Newcombe,2,51,4,1,1974
14238,22.869267624899997,27.704312115,5,128,L,R,183,193,100255,100126,USA,USA,,Stan Smith,122,Roscoe Tanner,21,4,5,1,1974
14239,39.819301848,20.7036276523,5,128,R,R,175,193,100016,100321,AUS,IND,,Vijay Amritraj,123,Ken Rosewall,6,39,5,1,1974
14240,30.264202600999997,31.1348391513,5,128,R,R,183,185,100087,100074,AUS,USA,,Arthur Ashe,124,John Newcombe,2,9,5,1,1974
14241,21.9849418207,22.869267624899997,5,128,L,L,178,183,100284,100255,USA,USA,,Roscoe Tanner,125,Jimmy Connors,1,21,6,1,1974
14242,39.819301848,30.264202600999997,5,128,R,R,175,183,100016,100087,AUS,AUS,,John Newcombe,126,Ken Rosewall,6,2,6,1,1974
14243,21.9849418207,39.819301848,5,128,L,R,178,175,100284,100016,USA,AUS,,Ken Rosewall,127,Jimmy Connors,1,6,7,1,1974
19508,20.9993155373,31.811088295700003,5,128,R,R,178,188,100343,100078,GBR,USA,,Clark Graebner,11,John Lloyd,90,97,1,1,1975
19510,24.1478439425,33.7275838467,5,128,R,R,190,185,100244,100060,AUS,USA,,Marty Riessen,13,John Alexander,13,18,1,1,1975
19511,26.5708418891,25.9603011636,5,128,R,R,188,180,100173,100185,USA,FRA,,Patrick Proisy,14,Andrew Pattison,46,52,1,1,1975
