,age1,age2,best_of,draw_size,ht1,ht2,ioc1,ioc2,match_num,rank1,rank2,round,win,year
50499,24.6078028747,17.9082819986,5,128,178,175,USA,FRA,95,90,616,2,1,1983
50500,23.8795345654,20.4188911704,5,128,180,175,USA,ESP,96,1,91,2,1,1983
50501,30.3353867214,26.8993839836,5,128,178,183,USA,CHI,97,2,35,3,1,1983
50502,24.5201916496,21.2019164956,5,128,178,180,USA,PER,98,63,36,3,1,1983
50503,25.4893908282,23.901437371700002,5,128,188,180,FRA,SUI,99,139,85,3,1,1983
50504,24.6954140999,21.212867898699997,5,128,175,185,ESP,USA,100,62,51,3,1,1983
50505,22.8254620123,21.3086926762,5,128,188,170,USA,BOL,101,3,74,3,1,1983
50506,30.934976043800003,19.7371663244,5,128,183,193,USA,SWE,102,21,103,3,1,1983
50507,31.5017111567,23.463381245700003,5,128,190,178,AUS,USA,103,31,27,3,1,1983
50508,22.6283367556,28.2984257358,5,128,193,190,FRA,USA,104,9,82,3,1,1983
50509,29.842573579699998,36.5859000684,5,128,178,180,ESP,CHI,105,11,77,3,1,1983
50510,22.850102669400002,24.9911019849,5,128,193,188,ECU,ISR,106,15,38,3,1,1983
50511,18.3819301848,27.2717316906,5,128,175,185,USA,BRA,107,20,37,3,1,1983
50512,30.379192334000003,36.459958932199996,5,128,180,183,ARG,ROU,108,4,118,3,1,1983
50513,18.3655030801,25.8672142368,5,128,183,185,SWE,FRA,109,7,45,3,1,1983
50514,18.8446269678,19.8685831622,5,128,188,188,SWE,SWE,110,82,167,3,1,1983
50515,23.805612594099998,19.65229295,5,128,178,178,USA,FRA,111,14,234,3,1,1983
50516,23.8795345654,24.6078028747,5,128,180,178,USA,USA,112,1,90,3,1,1983
50517,30.3353867214,24.5201916496,5,128,178,178,USA,USA,113,2,63,4,1,1983
50518,25.4893908282,24.6954140999,5,128,188,175,FRA,ESP,114,139,62,4,1,1983
50519,22.8254620123,30.934976043800003,5,128,188,183,USA,USA,115,3,21,4,1,1983
50520,22.6283367556,31.5017111567,5,128,193,190,FRA,AUS,116,9,31,4,1,1983
50521,29.842573579699998,22.850102669400002,5,128,178,193,ESP,ECU,117,11,15,4,1,1983
50522,30.379192334000003,18.3819301848,5,128,180,175,ARG,USA,118,4,20,4,1,1983
50523,18.3655030801,18.8446269678,5,128,183,188,SWE,SWE,119,7,82,4,1,1983
50524,23.8795345654,23.805612594099998,5,128,180,178,USA,USA,120,1,14,4,1,1983
50525,25.4893908282,30.3353867214,5,128,188,178,FRA,USA,121,139,2,5,1,1983
50526,22.6283367556,22.8254620123,5,128,193,188,FRA,USA,122,9,3,5,1,1983
50527,29.842573579699998,30.379192334000003,5,128,178,180,ESP,ARG,123,11,4,5,1,1983
50528,18.3655030801,23.8795345654,5,128,183,180,SWE,USA,124,7,1,5,1,1983
50529,22.6283367556,25.4893908282,5,128,193,188,FRA,FRA,125,9,139,6,1,1983
50530,18.3655030801,29.842573579699998,5,128,183,178,SWE,ESP,126,7,11,6,1,1983
50531,22.6283367556,18.3655030801,5,128,193,183,FRA,SWE,127,9,7,7,1,1983
51613,17.6043805613,25.363449692,5,96,183,183,AUS,AUS,4,44,206,1,1,1983
51614,24.194387405900002,20.6762491444,5,96,198,178,USA,SWE,5,30,46,1,1,1983
51615,22.0150581793,21.8042436687,5,96,183,185,AUS,AUS,6,78,272,1,1,1983
51616,33.273100616,31.0937713895,5,96,193,183,USA,AUT,7,82,137,1,1,1983
51618,31.3210130048,19.9726214921,5,96,180,196,USA,USA,9,150,240,1,1,1983
51619,31.5017111567,24.2108145106,5,96,190,190,AUS,USA,10,31,73,1,1,1983
51620,27.3319644079,18.9924709103,5,96,183,175,USA,FRA,11,248,166,1,1,1983
51621,22.819986310700003,25.4483230664,5,96,180,178,USA,USA,12,143,223,1,1,1983
51622,19.780971937,23.014373716599998,5,96,178,180,USA,NZL,13,79,247,1,1,1983
51623,28.5284052019,25.327857631799997,5,96,185,183,AUS,USA,14,24,191,1,1,1983
51624,19.8685831622,27.107460643400003,5,96,188,185,SWE,GER,15,167,261,1,1,1983
51626,22.642026009600002,17.5003422313,5,96,188,173,AUS,AUS,17,250,294,1,1,1983
51627,24.005475701599998,25.8015058179,5,96,185,180,USA,USA,18,103,110,1,1,1983
51629,28.2984257358,21.401779602999998,5,96,190,185,USA,USA,20,82,54,1,1,1983
51630,22.225872689899997,21.212867898699997,5,96,175,185,AUS,USA,21,132,51,1,1,1983
51631,27.2717316906,28.8624229979,5,96,185,188,BRA,NZL,22,37,50,1,1,1983
51632,31.2197125257,30.7378507871,5,96,183,183,USA,AUS,23,43,42,1,1,1983
51633,23.515400410700003,23.548254620100003,5,96,188,178,USA,AUS,24,89,207,1,1,1983
51634,24.4599589322,25.426420260100002,5,96,185,193,AUS,USA,25,116,616,1,1,1983
51635,19.5400410678,18.6255989049,5,96,188,190,USA,SVK,26,289,215,1,1,1983
51636,17.5085557837,23.6769336071,5,96,185,188,AUS,USA,27,450,39,1,1,1983
51637,19.6440793977,25.4072553046,5,96,180,193,AUS,USA,28,125,273,1,1,1983
51638,31.3210130048,19.9726214921,5,96,180,196,USA,USA,29,150,240,1,1,1983
51640,24.6078028747,17.9082819986,5,96,178,175,USA,FRA,31,90,616,1,1,1983
51641,24.7036276523,23.370294319,5,96,190,183,USA,USA,32,177,408,1,1,1983
51642,22.8254620123,27.928815879499997,5,96,188,188,USA,GBR,33,3,192,2,1,1983
51644,17.6043805613,16.6324435318,5,96,183,178,AUS,AUS,35,44,616,2,1,1983
51645,28.0301163587,21.0978781656,5,96,190,180,USA,NZL,36,18,193,2,1,1983
51646,25.8206707734,24.194387405900002,5,96,180,198,NZL,USA,37,57,30,2,1,1983
51647,22.0150581793,32.8843258042,5,96,183,183,AUS,AUS,38,78,65,2,1,1983
51648,33.273100616,16.9555099247,5,96,193,188,USA,SWE,39,82,523,2,1,1983
51649,26.6228610541,21.9958932238,5,96,190,175,CZE,USA,40,23,118,2,1,1983
51650,23.805612594099998,22.006844627,5,96,178,183,USA,AUS,41,14,179,2,1,1983
51652,27.3319644079,24.134154688600002,5,96,183,183,USA,USA,43,248,141,2,1,1983
51653,22.819986310700003,18.8446269678,5,96,180,188,USA,SWE,44,143,82,2,1,1983
51654,22.417522245,19.780971937,5,96,190,178,USA,USA,45,29,79,2,1,1983
51655,28.5284052019,20.717316906199997,5,96,185,183,AUS,USA,46,24,203,2,1,1983
51656,19.8685831622,30.3189596167,5,96,188,185,SWE,AUS,47,167,87,2,1,1983
51657,23.490759753600003,28.4407939767,5,96,183,183,HUN,USA,48,130,5,2,1,1983
51658,24.747433264899996,22.5790554415,5,96,175,193,USA,USA,49,12,127,2,1,1983
51659,24.005475701599998,22.642026009600002,5,96,185,188,USA,AUS,50,103,250,2,1,1983
51661,26.3271731691,28.2984257358,5,96,188,190,USA,USA,52,13,82,2,1,1983
51662,28.1423682409,22.225872689899997,5,96,178,175,AUS,AUS,53,33,132,2,1,1983
51663,27.2717316906,24.402464065700002,5,96,185,183,BRA,NGR,54,37,80,2,1,1983
51664,31.2197125257,23.515400410700003,5,96,183,188,USA,USA,55,43,89,2,1,1983
51665,18.3655030801,20.917180013699998,5,96,183,185,SWE,USA,56,7,135,2,1,1983
51666,21.475701574299997,24.4599589322,5,96,180,185,SWE,AUS,57,60,116,2,1,1983
51667,19.5400410678,23.0718685832,5,96,188,190,USA,USA,58,289,40,2,1,1983
51668,19.6440793977,17.5085557837,5,96,180,185,AUS,AUS,59,125,450,2,1,1983
51672,21.5797399042,24.6078028747,5,96,170,178,IND,USA,63,100,90,2,1,1983
51673,23.8795345654,24.7036276523,5,96,180,190,USA,USA,64,1,177,2,1,1983
51675,17.6043805613,28.0301163587,5,96,183,190,AUS,USA,66,44,18,3,1,1983
51676,22.0150581793,25.8206707734,5,96,183,180,AUS,NZL,67,78,57,3,1,1983
51677,26.6228610541,33.273100616,5,96,190,193,CZE,USA,68,23,82,3,1,1983
51678,23.805612594099998,31.3210130048,5,96,178,180,USA,USA,69,14,150,3,1,1983
51679,27.3319644079,22.819986310700003,5,96,183,180,USA,USA,70,248,143,3,1,1983
51680,22.417522245,28.5284052019,5,96,190,185,USA,AUS,71,29,24,3,1,1983
51681,19.8685831622,23.490759753600003,5,96,188,183,SWE,HUN,72,167,130,3,1,1983
51682,24.747433264899996,24.005475701599998,5,96,175,185,USA,USA,73,12,103,3,1,1983
51683,28.3531827515,26.3271731691,5,96,178,188,GBR,USA,74,197,13,3,1,1983
51684,28.1423682409,27.2717316906,5,96,178,185,AUS,BRA,75,33,37,3,1,1983
51685,18.3655030801,31.2197125257,5,96,183,183,SWE,USA,76,7,43,3,1,1983
51686,21.475701574299997,19.5400410678,5,96,180,188,SWE,USA,77,60,289,3,1,1983
51689,23.8795345654,21.5797399042,5,96,180,170,USA,IND,80,1,100,3,1,1983
51690,22.8254620123,17.6043805613,5,96,188,183,USA,AUS,81,3,44,4,1,1983
51691,26.6228610541,22.0150581793,5,96,190,183,CZE,AUS,82,23,78,4,1,1983
51692,23.805612594099998,27.3319644079,5,96,178,183,USA,USA,83,14,248,4,1,1983
51693,22.417522245,19.8685831622,5,96,190,188,USA,SWE,84,29,167,4,1,1983
51694,24.747433264899996,28.3531827515,5,96,175,178,USA,GBR,85,12,197,4,1,1983
51695,18.3655030801,28.1423682409,5,96,183,178,SWE,AUS,86,7,33,4,1,1983
51696,19.6440793977,21.475701574299997,5,96,180,180,AUS,SWE,87,125,60,4,1,1983
51697,23.8795345654,31.3210130048,5,96,180,180,USA,USA,88,1,150,4,1,1983
51698,22.8254620123,26.6228610541,5,96,188,190,USA,CZE,89,3,23,5,1,1983
51699,22.417522245,23.805612594099998,5,96,190,178,USA,USA,90,29,14,5,1,1983
51700,18.3655030801,24.747433264899996,5,96,183,175,SWE,USA,91,7,12,5,1,1983
51701,23.8795345654,19.6440793977,5,96,180,180,USA,AUS,92,1,125,5,1,1983
51702,22.8254620123,22.417522245,5,96,188,190,USA,USA,93,3,29,6,1,1983
51703,18.3655030801,23.8795345654,5,96,183,180,SWE,USA,94,7,1,6,1,1983
51704,18.3655030801,22.8254620123,5,96,183,188,SWE,USA,95,7,3,7,1,1983
51798,30.3353867214,26.5023956194,5,128,178,190,USA,RSA,1,2,171,1,1,1983
51799,19.6440793977,24.2108145106,5,128,180,190,AUS,USA,2,125,73,1,1,1983
51800,18.8446269678,25.212867898699997,5,128,188,180,SWE,USA,3,82,48,1,1,1983
51801,16.9555099247,25.4893908282,5,128,188,188,SWE,FRA,4,523,139,1,1,1983
51802,24.4599589322,20.4188911704,5,128,185,175,AUS,ESP,5,116,91,1,1,1983
51803,21.3826146475,22.6584531143,5,128,188,180,USA,RSA,6,67,217,1,1,1983
51804,20.3203285421,20.6762491444,5,128,185,178,ESP,SWE,7,159,46,1,1,1983
51805,24.8405201916,33.273100616,5,128,185,193,USA,USA,8,17,82,1,1,1983
51806,22.417522245,23.0718685832,5,128,190,190,USA,USA,9,29,40,1,1,1983
51807,24.005475701599998,21.475701574299997,5,128,185,180,USA,SWE,10,103,60,1,1,1983
51808,28.0301163587,27.2717316906,5,128,190,185,USA,BRA,11,18,37,1,1,1983
51810,31.3210130048,24.2299794661,5,128,180,185,USA,USA,13,150,106,1,1,1983
51811,22.8637919233,29.5386721424,5,128,180,183,BRA,MEX,14,86,25,1,1,1983
51812,22.642026009600002,21.9274469541,5,128,188,178,AUS,ESP,15,250,93,1,1,1983
51813,22.9185489391,24.3832991102,5,128,178,185,ITA,ARG,16,76,6,1,1,1983
51814,24.402464065700002,30.379192334000003,5,128,183,180,NGR,ARG,17,80,4,1,1,1983
51816,18.9924709103,19.7371663244,5,128,175,193,FRA,SWE,19,166,103,1,1,1983
51819,23.515400410700003,22.7734428474,5,128,188,178,USA,GER,22,89,69,1,1,1983
51820,22.006844627,17.9958932238,5,128,183,190,AUS,FRA,23,179,70,1,1,1983
51821,25.8206707734,26.3271731691,5,128,180,188,NZL,USA,24,57,13,1,1,1983
51822,30.934976043800003,24.9911019849,5,128,183,188,USA,ISR,25,21,38,1,1,1983
51823,24.9719370294,19.4195756331,5,128,193,196,USA,BEL,26,107,219,1,1,1983
51825,31.693360711799997,24.5201916496,5,128,185,178,BRA,USA,28,96,63,1,1,1983
51826,18.9514031485,25.8015058179,5,128,185,180,GBR,USA,29,548,110,1,1,1983
51827,23.463381245700003,23.112936345,5,128,178,180,USA,USA,30,27,55,1,1,1983
51828,24.8240930869,24.6680355921,5,128,175,190,GER,USA,31,143,165,1,1,1983
51829,28.5065023956,28.1724845996,5,128,201,190,USA,USA,32,58,201,1,1,1983
51830,18.3655030801,22.0150581793,5,128,183,183,SWE,AUS,33,7,78,1,1,1983
51832,31.5017111567,19.285420944600002,5,128,190,190,AUS,SWE,35,31,88,1,1,1983
51833,31.2197125257,20.5968514716,5,128,183,185,USA,SWE,36,43,143,1,1,1983
51834,23.7344284736,22.225872689899997,5,128,193,175,USA,AUS,37,64,132,1,1,1983
51835,19.5017111567,21.440109514,5,128,185,180,FRA,RSA,38,28,138,1,1,1983
51836,26.5790554415,27.928815879499997,5,128,180,188,USA,GBR,39,98,192,1,1,1983
51837,24.747433264899996,19.780971937,5,128,175,178,USA,USA,40,12,79,1,1,1983
51838,29.234770705,26.6228610541,5,128,193,190,USA,CZE,41,34,23,1,1,1983
51839,24.9719370294,28.93908282,5,128,175,183,CHI,BRA,42,101,110,1,1,1983
51840,22.8309377139,25.856262833699997,5,128,196,180,USA,USA,43,59,163,1,1,1983
51841,17.6043805613,27.1923340178,5,128,183,180,AUS,BRA,44,44,117,1,1,1983
51842,20.2108145106,28.3531827515,5,128,188,178,AUS,GBR,45,102,197,1,1,1983
51843,18.1409993155,26.2286105407,5,128,188,170,SUI,CZE,46,227,160,1,1,1983
51844,27.8028747433,36.054757015700005,5,128,173,193,USA,USA,47,152,152,1,1,1983
51845,22.8254620123,28.1505817933,5,128,188,188,USA,RSA,48,3,162,1,1,1983
51846,28.4407939767,21.5797399042,5,128,183,170,USA,IND,49,5,100,1,1,1983
51849,28.1423682409,19.9726214921,5,128,178,196,AUS,USA,52,33,240,1,1,1983
51850,21.212867898699997,25.363449692,5,128,185,183,USA,AUS,53,51,206,1,1,1983
51851,22.995208761100002,28.2984257358,5,128,175,190,SWE,USA,54,105,82,1,1,1983
51852,25.7440109514,22.5790554415,5,128,183,193,ITA,USA,55,151,127,1,1,1983
51853,30.7460643395,20.3531827515,5,128,178,188,USA,USA,56,16,193,1,1,1983
51854,26.1382614648,24.895277207399996,5,128,185,190,USA,FRA,57,71,130,1,1,1983
51855,24.194387405900002,22.7433264887,5,128,198,183,USA,SWE,58,30,149,1,1,1983
51856,31.3210130048,24.2299794661,5,128,180,185,USA,USA,59,150,106,1,1,1983
51857,24.5667351129,23.230663928800002,5,128,178,201,GER,NED,60,81,223,1,1,1983
51858,24.6078028747,26.288843258000004,5,128,178,188,USA,USA,61,90,32,1,1,1983
51859,21.401779602999998,28.8624229979,5,128,185,188,USA,NZL,62,54,50,1,1,1983
51860,21.765913757699998,36.5859000684,5,128,180,180,ROU,CHI,63,125,77,1,1,1983
51861,23.8795345654,20.917180013699998,5,128,180,185,USA,USA,64,1,135,1,1,1983
51862,30.3353867214,19.6440793977,5,128,178,180,USA,AUS,65,2,125,2,1,1983
51863,18.8446269678,16.9555099247,5,128,188,188,SWE,SWE,66,82,523,2,1,1983
51864,21.3826146475,24.4599589322,5,128,188,185,USA,AUS,67,67,116,2,1,1983
51865,24.8405201916,20.3203285421,5,128,185,185,USA,ESP,68,17,159,2,1,1983
51866,22.417522245,24.005475701599998,5,128,190,185,USA,USA,69,29,103,2,1,1983
51867,28.0301163587,30.417522245,5,128,190,183,USA,POL,70,18,22,2,1,1983
51868,22.8637919233,31.3210130048,5,128,180,180,BRA,USA,71,86,150,2,1,1983
51869,22.642026009600002,22.9185489391,5,128,188,178,AUS,ITA,72,250,76,2,1,1983
51872,23.515400410700003,23.548254620100003,5,128,188,178,USA,AUS,75,89,207,2,1,1983
51873,25.8206707734,22.006844627,5,128,180,183,NZL,AUS,76,57,179,2,1,1983
51874,30.934976043800003,24.9719370294,5,128,183,193,USA,USA,77,21,107,2,1,1983
51875,31.693360711799997,24.7036276523,5,128,185,190,BRA,USA,78,96,177,2,1,1983
51876,23.463381245700003,18.9514031485,5,128,178,185,USA,GBR,79,27,548,2,1,1983
51877,24.8240930869,28.5065023956,5,128,175,201,GER,USA,80,143,58,2,1,1983
51879,31.2197125257,31.5017111567,5,128,183,190,USA,AUS,82,43,31,2,1,1983
51880,23.7344284736,19.5017111567,5,128,193,185,USA,FRA,83,64,28,2,1,1983
51881,24.747433264899996,26.5790554415,5,128,175,180,USA,USA,84,12,98,2,1,1983
51882,24.9719370294,29.234770705,5,128,175,193,CHI,USA,85,101,34,2,1,1983
51883,17.6043805613,22.8309377139,5,128,183,196,AUS,USA,86,44,59,2,1,1983
51884,18.1409993155,20.2108145106,5,128,188,188,SUI,AUS,87,227,102,2,1,1983
51885,22.8254620123,27.8028747433,5,128,188,173,USA,USA,88,3,152,2,1,1983
51886,28.5284052019,28.4407939767,5,128,185,183,AUS,USA,89,24,5,2,1,1983
51887,22.819986310700003,28.1423682409,5,128,180,178,USA,AUS,90,143,33,2,1,1983
51888,21.212867898699997,22.995208761100002,5,128,185,175,USA,SWE,91,51,105,2,1,1983
51889,30.7460643395,25.7440109514,5,128,178,183,USA,ITA,92,16,151,2,1,1983
51890,26.1382614648,24.194387405900002,5,128,185,198,USA,USA,93,71,30,2,1,1983
51891,31.3210130048,24.5667351129,5,128,180,178,USA,GER,94,150,81,2,1,1983
51892,21.401779602999998,24.6078028747,5,128,185,178,USA,USA,95,54,90,2,1,1983
51893,23.8795345654,21.765913757699998,5,128,180,180,USA,ROU,96,1,125,2,1,1983
51894,30.3353867214,18.8446269678,5,128,178,188,USA,SWE,97,2,82,3,1,1983
51895,24.8405201916,21.3826146475,5,128,185,188,USA,USA,98,17,67,3,1,1983
51896,22.417522245,28.0301163587,5,128,190,190,USA,USA,99,29,18,3,1,1983
51897,22.642026009600002,22.8637919233,5,128,188,180,AUS,BRA,100,250,86,3,1,1983
51898,24.402464065700002,18.9924709103,5,128,183,175,NGR,FRA,101,80,166,3,1,1983
51899,25.8206707734,23.515400410700003,5,128,180,188,NZL,USA,102,57,89,3,1,1983
51900,30.934976043800003,31.693360711799997,5,128,183,185,USA,BRA,103,21,96,3,1,1983
51901,23.463381245700003,24.8240930869,5,128,178,175,USA,GER,104,27,143,3,1,1983
51902,31.2197125257,18.3655030801,5,128,183,183,USA,SWE,105,43,7,3,1,1983
51903,23.7344284736,24.747433264899996,5,128,193,175,USA,USA,106,64,12,3,1,1983
51904,17.6043805613,24.9719370294,5,128,183,175,AUS,CHI,107,44,101,3,1,1983
51905,22.8254620123,18.1409993155,5,128,188,188,USA,SUI,108,3,227,3,1,1983
51906,22.819986310700003,28.5284052019,5,128,180,185,USA,AUS,109,143,24,3,1,1983
51907,30.7460643395,21.212867898699997,5,128,178,185,USA,USA,110,16,51,3,1,1983
51908,26.1382614648,31.3210130048,5,128,185,180,USA,USA,111,71,150,3,1,1983
51909,23.8795345654,21.401779602999998,5,128,180,185,USA,USA,112,1,54,3,1,1983
51910,24.8405201916,30.3353867214,5,128,185,178,USA,USA,113,17,2,4,1,1983
51911,22.417522245,22.642026009600002,5,128,190,188,USA,AUS,114,29,250,4,1,1983
51912,25.8206707734,24.402464065700002,5,128,180,183,NZL,NGR,115,57,80,4,1,1983
51913,23.463381245700003,30.934976043800003,5,128,178,183,USA,USA,116,27,21,4,1,1983
51914,31.2197125257,23.7344284736,5,128,183,193,USA,USA,117,43,64,4,1,1983
51915,22.8254620123,17.6043805613,5,128,188,183,USA,AUS,118,3,44,4,1,1983
51916,30.7460643395,22.819986310700003,5,128,178,180,USA,USA,119,16,143,4,1,1983
51917,23.8795345654,26.1382614648,5,128,180,185,USA,USA,120,1,71,4,1,1983
51918,24.8405201916,22.417522245,5,128,185,190,USA,USA,121,17,29,5,1,1983
51919,25.8206707734,23.463381245700003,5,128,180,178,NZL,USA,122,57,27,5,1,1983
51920,22.8254620123,31.2197125257,5,128,188,183,USA,USA,123,3,43,5,1,1983
51921,23.8795345654,30.7460643395,5,128,180,178,USA,USA,124,1,16,5,1,1983
51922,25.8206707734,24.8405201916,5,128,180,185,NZL,USA,125,57,17,6,1,1983
51923,23.8795345654,22.8254620123,5,128,180,188,USA,USA,126,1,3,6,1,1983
51924,23.8795345654,25.8206707734,5,128,180,180,USA,NZL,127,1,57,7,1,1983
53274,25.3552361396,29.6180698152,5,128,180,178,USA,AUS,1,1,36,1,1,1984
53275,22.8583162218,19.0746064339,5,128,188,180,USA,ESP,2,69,67,1,1,1984
53276,19.6167008898,31.893223819299998,5,128,188,183,SUI,POL,3,99,37,1,1,1984
53277,21.1197809719,18.984257358,5,128,180,185,AUS,AUS,4,65,126,1,1,1984
53278,16.59137577,24.4736481862,5,128,190,170,GER,USA,5,176,110,1,1,1984
53279,25.87816564,24.1177275838,5,128,183,188,NGR,USA,6,52,194,1,1,1984
53280,21.697467488,24.2381930185,5,128,193,173,ISR,USA,7,144,88,1,1,1984
53281,27.613963039,21.4483230664,5,128,185,196,USA,USA,8,17,64,1,1,1984
53282,29.916495551,26.1793292266,5,128,183,190,USA,USA,9,18,116,1,1,1984
53284,27.9780971937,25.6700889802,5,128,190,198,RSA,USA,11,144,79,1,1,1984
53285,22.8774811773,29.426420260100002,5,128,185,196,USA,USA,12,45,29,1,1,1984
53286,27.7645448323,22.0725530459,5,128,188,185,USA,SWE,13,76,50,1,1,1984
53287,24.295687885,22.6776180698,5,128,180,180,USA,PER,14,120,49,1,1,1984
53288,26.4476386037,33.1690622861,5,128,175,185,CHI,BRA,15,106,119,1,1,1984
53289,21.6865160849,19.0417522245,5,128,188,180,AUS,SUI,16,206,130,1,1,1984
53291,19.0800821355,21.1526351814,5,128,183,190,AUS,USA,18,33,96,1,1,1984
53292,23.490759753600003,22.1930184805,5,128,183,183,AUS,USA,19,41,103,1,1,1984
53293,24.339493497600003,22.0177960301,5,128,180,180,BRA,GBR,20,62,184,1,1,1984
53294,23.055441478400002,20.8268309377,5,128,170,180,IND,ITA,21,60,104,1,1,1984
53295,27.2963723477,25.0321697467,5,128,180,178,NZL,SUI,22,22,123,1,1,1984
53296,22.392881588,29.1225188227,5,128,185,185,USA,GBR,23,54,59,1,1,1984
53297,26.3162217659,27.8028747433,5,128,185,188,USA,USA,24,12,70,1,1,1984
53298,20.3203285421,25.0869267625,5,128,188,185,SWE,BEL,25,9,106,1,1,1984
53299,30.0041067762,24.93908282,5,128,185,178,AUS,USA,26,85,23,1,1,1984
53300,21.0896646133,25.210130047899998,5,128,185,193,USA,USA,27,243,66,1,1,1984
53301,32.1724845996,26.688569473,5,128,178,180,USA,USA,28,91,118,1,1,1984
53302,22.0342231348,29.5058179329,5,128,175,190,CAN,USA,29,89,32,1,1,1984
53303,19.4715947981,25.3771389459,5,128,190,180,FRA,SUI,30,165,30,1,1,1984
53304,21.4811772758,24.394250513299998,5,128,190,178,GBR,ITA,31,239,47,1,1,1984
53305,24.3258042437,27.277207392199998,5,128,193,180,ECU,USA,32,6,108,1,1,1984
53306,21.2676249144,29.4045174538,5,128,185,188,USA,GBR,33,243,231,1,1,1984
53307,24.5475701574,33.7549623546,5,128,190,173,USA,BRA,34,48,153,1,1,1984
53308,21.6728268309,23.6796714579,5,128,185,175,RSA,CRO,35,322,98,1,1,1984
53309,26.4476386037,32.2217659138,5,128,193,178,USA,USA,36,121,21,1,1,1984
53310,20.2546201232,30.5297741273,5,128,173,193,GER,IND,37,126,94,1,1,1984
53311,26.1793292266,22.0369609856,5,128,193,185,USA,GER,38,81,168,1,1,1984
53312,18.431211499,25.9356605065,5,128,188,185,SWE,AUS,39,25,56,1,1,1984
53313,26.2231348392,19.345653661900002,5,128,175,190,USA,GER,40,13,87,1,1,1984
53314,23.893223819299998,28.747433264899996,5,128,190,185,USA,BRA,41,19,154,1,1,1984
53315,28.599589322399996,32.4106776181,5,128,193,183,PAR,USA,42,105,43,1,1,1984
53316,32.7967145791,30.7104722793,5,128,180,193,USA,USA,43,51,125,1,1,1984
53317,24.8459958932,24.7063655031,5,128,183,201,USA,NED,44,44,128,1,1,1984
53318,25.6098562628,28.2655715264,5,128,183,173,USA,USA,45,78,117,1,1,1984
53319,27.3319644079,24.205338809,5,128,180,196,USA,USA,46,313,406,1,1,1984
